"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035456","BP","GO:0035456","response to interferon-beta","18/189","65/28943",7.77150981716862e-25,2.32057283140655e-21,1.59520464668198e-21,"Mndal/Ifi207/Ifi203/Ifi204/Ifit3/Ifi202b/Stat1/Iigp1/Ifi209/Ifi211/Irgm1/Gm12185/Ifi47/Ifi214/Gbp7/Xaf1/Ifit1/Gbp2b",18
"GO:0035458","BP","GO:0035458","cellular response to interferon-beta","17/189","57/28943",3.80889585135968e-24,5.4485628020873e-21,3.74544275533903e-21,"Mndal/Ifi207/Ifi203/Ifi204/Ifit3/Ifi202b/Stat1/Iigp1/Ifi209/Ifi211/Irgm1/Gm12185/Ifi47/Ifi214/Gbp7/Ifit1/Gbp2b",17
"GO:0002831","BP","GO:0002831","regulation of response to biotic stimulus","30/189","371/28943",5.47410864241859e-24,5.4485628020873e-21,3.74544275533903e-21,"Ly86/Fgl2/Grn/Mndal/Ifi207/Pparg/Ifi203/Apoe/Cd180/Cadm1/Ifi204/Stat2/Clec2d/Trafd1/Stat1/Ifi209/Ifi211/Irgm1/Gbp4/Ddx60/Znfx1/Cd74/Parp14/Ifi214/Ccl5/Il15/Isg15/Rigi/Oasl1/Gbp5",30
"GO:0009615","BP","GO:0009615","response to virus","29/189","347/28943",1.2924616268003e-23,9.64822604406427e-21,6.63236887436998e-21,"Fgl2/Ifi207/Apobec1/Ifit2/Ifi44l/Ifit3b/Ifit1bl1/Ifi204/Ifit3/Stat2/Rsad2/Stat1/Ifi27l2a/Irgm1/Gbp4/Ddx60/Cxcl10/Znfx1/Ccl5/Il15/Gbp7/Isg15/Rigi/Isg20/Cd86/Oasl1/Ifih1/Ifit1/Gbp2b",29
"GO:0051607","BP","GO:0051607","defense response to virus","27/189","289/28943",2.54288532539852e-23,1.38783808415702e-20,9.54025545213168e-21,"Fgl2/Ifi207/Apobec1/Ifit2/Ifi44l/Ifit3b/Ifit1bl1/Ifi204/Ifit3/Stat2/Rsad2/Stat1/Gbp4/Ddx60/Cxcl10/Znfx1/Ccl5/Il15/Gbp7/Isg15/Rigi/Isg20/Cd86/Oasl1/Ifih1/Ifit1/Gbp2b",27
"GO:0140546","BP","GO:0140546","defense response to symbiont","27/189","290/28943",2.78869005523849e-23,1.38783808415702e-20,9.54025545213168e-21,"Fgl2/Ifi207/Apobec1/Ifit2/Ifi44l/Ifit3b/Ifit1bl1/Ifi204/Ifit3/Stat2/Rsad2/Stat1/Gbp4/Ddx60/Cxcl10/Znfx1/Ccl5/Il15/Gbp7/Isg15/Rigi/Isg20/Cd86/Oasl1/Ifih1/Ifit1/Gbp2b",27
"GO:0032103","BP","GO:0032103","positive regulation of response to external stimulus","30/189","459/28943",2.5581974896827e-21,1.09125395774179e-18,7.5014813607237e-19,"Lgmn/Ly86/Grn/Ccr2/Mndal/Ifi207/Aif1/Ifi203/Fcgr1/Nrp1/Cd180/P2rx4/Cadm1/Ifi204/Ccl7/Sell/Ccl2/Ifi209/Ifi211/Irgm1/Kdr/Ddx60/Cxcl10/Znfx1/Cd74/Ifi214/Ccl5/Oasl1/Lpl/Gbp5",30
"GO:0034341","BP","GO:0034341","response to interferon-gamma","17/189","139/28943",4.70270100215108e-17,1.75528314905289e-14,1.20661407292034e-14,"Mrc1/Pparg/Ccl12/Ccl7/Stat1/Ccl2/Irgm1/Gbp4/Cd74/Parp14/Ccl5/Gbp7/H2-Eb1/Ccl8/H2-Aa/Gbp5/Gbp2b",17
"GO:0045088","BP","GO:0045088","regulation of innate immune response","20/189","240/28943",1.51015218366707e-16,5.01034935603321e-14,3.44420673467929e-14,"Grn/Mndal/Ifi207/Pparg/Ifi203/Apoe/Cadm1/Ifi204/Stat2/Clec2d/Trafd1/Ifi209/Ifi211/Irgm1/Znfx1/Cd74/Parp14/Ifi214/Isg15/Gbp5",20
"GO:0002683","BP","GO:0002683","negative regulation of immune system process","24/189","465/28943",6.4028358074036e-15,1.91188677209071e-12,1.31426629730916e-12,"Fgl2/Grn/Ccr2/Ifi207/C1qc/Pparg/Ccl12/Axl/Ifi204/Stat2/Tmem176b/Clec2d/Trafd1/Lst1/Ccl2/Inpp4b/Tmem176a/Cd74/Parp14/Isg15/Cd86/H2-Aa/Slfn1/Gpnmb",24
"GO:0002833","BP","GO:0002833","positive regulation of response to biotic stimulus","17/189","187/28943",7.27767010967572e-15,1.97555663159015e-12,1.35803413529834e-12,"Ly86/Grn/Mndal/Ifi207/Ifi203/Cd180/Cadm1/Ifi204/Ifi209/Ifi211/Irgm1/Ddx60/Znfx1/Cd74/Ifi214/Oasl1/Gbp5",17
