"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:2001279","GO:2001279","regulation of unsaturated fatty acid biosynthetic process","1/2","14/28943",0.00096720144978224,0.0134465925466213,NA,"Il1b",1
"GO:0030213","GO:0030213","hyaluronan biosynthetic process","1/2","15/28943",0.00103626936077483,0.0134465925466213,NA,"Il1b",1
"GO:0032308","GO:0032308","positive regulation of prostaglandin secretion","1/2","15/28943",0.00103626936077483,0.0134465925466213,NA,"Il1b",1
"GO:0048755","GO:0048755","branching morphogenesis of a nerve","1/2","15/28943",0.00103626936077483,0.0134465925466213,NA,"Il1b",1
"GO:0016264","GO:0016264","gap junction assembly","1/2","16/28943",0.0011053348841874,0.0134465925466213,NA,"Il1b",1
"GO:0031650","GO:0031650","regulation of heat generation","1/2","16/28943",0.0011053348841874,0.0134465925466213,NA,"Il1b",1
"GO:0032645","GO:0032645","regulation of granulocyte macrophage colony-stimulating factor production","1/2","16/28943",0.0011053348841874,0.0134465925466213,NA,"Il1b",1
"GO:0033084","GO:0033084","regulation of immature T cell proliferation in thymus","1/2","16/28943",0.0011053348841874,0.0134465925466213,NA,"Il1b",1
"GO:0051044","GO:0051044","positive regulation of membrane protein ectodomain proteolysis","1/2","16/28943",0.0011053348841874,0.0134465925466213,NA,"Il1b",1
"GO:0032306","GO:0032306","regulation of prostaglandin secretion","1/2","17/28943",0.00117439802001995,0.0134465925466213,NA,"Il1b",1
"GO:0032604","GO:0032604","granulocyte macrophage colony-stimulating factor production","1/2","17/28943",0.00117439802001995,0.0134465925466213,NA,"Il1b",1
"GO:0033083","GO:0033083","regulation of immature T cell proliferation","1/2","17/28943",0.00117439802001995,0.0134465925466213,NA,"Il1b",1
"GO:0048143","GO:0048143","astrocyte activation","1/2","17/28943",0.00117439802001995,0.0134465925466213,NA,"Il1b",1
"GO:0030730","GO:0030730","sequestering of triglyceride","1/2","18/28943",0.00124345876827292,0.0134465925466213,NA,"Il1b",1
"GO:0033080","GO:0033080","immature T cell proliferation in thymus","1/2","18/28943",0.00124345876827292,0.0134465925466213,NA,"Il1b",1
"GO:0070486","GO:0070486","leukocyte aggregation","1/2","18/28943",0.00124345876827292,0.0134465925466213,NA,"Il1b",1
"GO:0002827","GO:0002827","positive regulation of T-helper 1 type immune response","1/2","19/28943",0.00131251712894587,0.0134465925466213,NA,"Il1b",1
"GO:0033079","GO:0033079","immature T cell proliferation","1/2","19/28943",0.00131251712894587,0.0134465925466213,NA,"Il1b",1
"GO:0051956","GO:0051956","negative regulation of amino acid transport","1/2","19/28943",0.00131251712894587,0.0134465925466213,NA,"Il1b",1
"GO:0071639","GO:0071639","positive regulation of monocyte chemotactic protein-1 production","1/2","19/28943",0.00131251712894587,0.0134465925466213,NA,"Il1b",1
"GO:1901550","GO:1901550","regulation of endothelial cell development","1/2","19/28943",0.00131251712894587,0.0134465925466213,NA,"Il1b",1
"GO:1903140","GO:1903140","regulation of establishment of endothelial barrier","1/2","19/28943",0.00131251712894587,0.0134465925466213,NA,"Il1b",1
"GO:0021516","GO:0021516","dorsal spinal cord development","1/2","20/28943",0.0013815731020389,0.0134465925466213,NA,"Lmo4",1
"GO:0032305","GO:0032305","positive regulation of icosanoid secretion","1/2","20/28943",0.0013815731020389,0.0134465925466213,NA,"Il1b",1
"GO:0002922","GO:0002922","positive regulation of humoral immune response","1/2","21/28943",0.0014506266875518,0.0134465925466213,NA,"Il1b",1
"GO:0032310","GO:0032310","prostaglandin secretion","1/2","21/28943",0.0014506266875518,0.0134465925466213,NA,"Il1b",1
"GO:0035234","GO:0035234","ectopic germ cell programmed cell death","1/2","21/28943",0.0014506266875518,0.0134465925466213,NA,"Il1b",1
"GO:0097398","GO:0097398","cellular response to interleukin-17","1/2","22/28943",0.00151967788548502,0.0134465925466213,NA,"Il1b",1
"GO:0031649","GO:0031649","heat generation","1/2","23/28943",0.00158872669583865,0.0134465925466213,NA,"Il1b",1
"GO:0051043","GO:0051043","regulation of membrane protein ectodomain proteolysis","1/2","23/28943",0.00158872669583865,0.0134465925466213,NA,"Il1b",1
"GO:0070498","GO:0070498","interleukin-1-mediated signaling pathway","1/2","23/28943",0.00158872669583865,0.0134465925466213,NA,"Il1b",1
"GO:0014048","GO:0014048","regulation of glutamate secretion","1/2","25/28943",0.00172681715380563,0.0134465925466213,NA,"Il1b",1
"GO:0015732","GO:0015732","prostaglandin transport","1/2","25/28943",0.00172681715380563,0.0134465925466213,NA,"Il1b",1
"GO:0032303","GO:0032303","regulation of icosanoid secretion","1/2","25/28943",0.00172681715380563,0.0134465925466213,NA,"Il1b",1
"GO:0034114","GO:0034114","regulation of heterotypic cell-cell adhesion","1/2","25/28943",0.00172681715380563,0.0134465925466213,NA,"Il1b",1
"GO:0097396","GO:0097396","response to interleukin-17","1/2","25/28943",0.00172681715380563,0.0134465925466213,NA,"Il1b",1
"GO:2000193","GO:2000193","positive regulation of fatty acid transport","1/2","25/28943",0.00172681715380563,0.0134465925466213,NA,"Il1b",1
"GO:0002726","GO:0002726","positive regulation of T cell cytokine production","1/2","26/28943",0.00179585880141919,0.0134465925466213,NA,"Il1b",1
"GO:0010575","GO:0010575","positive regulation of vascular endothelial growth factor production","1/2","26/28943",0.00179585880141919,0.0134465925466213,NA,"Il1b",1
"GO:0010829","GO:0010829","negative regulation of glucose transmembrane transport","1/2","26/28943",0.00179585880141919,0.0134465925466213,NA,"Il1b",1
"GO:0030449","GO:0030449","regulation of complement activation","1/2","26/28943",0.00179585880141919,0.0134465925466213,NA,"Il1b",1
"GO:0035743","GO:0035743","CD4-positive, alpha-beta T cell cytokine production","1/2","26/28943",0.00179585880141919,0.0134465925466213,NA,"Il1b",1
"GO:0045723","GO:0045723","positive regulation of fatty acid biosynthetic process","1/2","27/28943",0.00186489806145318,0.0134465925466213,NA,"Il1b",1
"GO:0060252","GO:0060252","positive regulation of glial cell proliferation","1/2","27/28943",0.00186489806145318,0.0134465925466213,NA,"Il1b",1
"GO:0071605","GO:0071605","monocyte chemotactic protein-1 production","1/2","27/28943",0.00186489806145318,0.0134465925466213,NA,"Il1b",1
"GO:0071637","GO:0071637","regulation of monocyte chemotactic protein-1 production","1/2","27/28943",0.00186489806145318,0.0134465925466213,NA,"Il1b",1
"GO:0050995","GO:0050995","negative regulation of lipid catabolic process","1/2","28/28943",0.00193393493390703,0.0134465925466213,NA,"Il1b",1
"GO:0032770","GO:0032770","positive regulation of monooxygenase activity","1/2","29/28943",0.00200296941878098,0.0134465925466213,NA,"Il1b",1
"GO:0032891","GO:0032891","negative regulation of organic acid transport","1/2","29/28943",0.00200296941878098,0.0134465925466213,NA,"Il1b",1
"GO:0033198","GO:0033198","response to ATP","1/2","29/28943",0.00200296941878098,0.0134465925466213,NA,"Il1b",1
"GO:0042659","GO:0042659","regulation of cell fate specification","1/2","29/28943",0.00200296941878098,0.0134465925466213,NA,"Lmo4",1
"GO:0090023","GO:0090023","positive regulation of neutrophil chemotaxis","1/2","29/28943",0.00200296941878098,0.0134465925466213,NA,"Il1b",1
"GO:1900745","GO:1900745","positive regulation of p38MAPK cascade","1/2","29/28943",0.00200296941878098,0.0134465925466213,NA,"Il1b",1
"GO:0001516","GO:0001516","prostaglandin biosynthetic process","1/2","30/28943",0.00207200151607478,0.0134465925466213,NA,"Il1b",1
"GO:0046457","GO:0046457","prostanoid biosynthetic process","1/2","30/28943",0.00207200151607478,0.0134465925466213,NA,"Il1b",1
"GO:0010623","GO:0010623","programmed cell death involved in cell development","1/2","31/28943",0.00214103122578924,0.0134465925466213,NA,"Il1b",1
"GO:0071624","GO:0071624","positive regulation of granulocyte chemotaxis","1/2","31/28943",0.00214103122578924,0.0134465925466213,NA,"Il1b",1
"GO:1901889","GO:1901889","negative regulation of cell junction assembly","1/2","31/28943",0.00214103122578924,0.0134465925466213,NA,"Il1b",1
"GO:2000178","GO:2000178","negative regulation of neural precursor cell proliferation","1/2","31/28943",0.00214103122578924,0.0134465925466213,NA,"Il1b",1
"GO:0002825","GO:0002825","regulation of T-helper 1 type immune response","1/2","32/28943",0.00221005854792355,0.0134465925466213,NA,"Il1b",1
"GO:0010574","GO:0010574","regulation of vascular endothelial growth factor production","1/2","32/28943",0.00221005854792355,0.0134465925466213,NA,"Il1b",1
"GO:1901099","GO:1901099","negative regulation of signal transduction in absence of ligand","1/2","32/28943",0.00221005854792355,0.0134465925466213,NA,"Il1b",1
"GO:2001240","GO:2001240","negative regulation of extrinsic apoptotic signaling pathway in absence of ligand","1/2","32/28943",0.00221005854792355,0.0134465925466213,NA,"Il1b",1
"GO:0002675","GO:0002675","positive regulation of acute inflammatory response","1/2","33/28943",0.00227908348247818,0.0134465925466213,NA,"Il1b",1
"GO:0050996","GO:0050996","positive regulation of lipid catabolic process","1/2","33/28943",0.00227908348247818,0.0134465925466213,NA,"Il1b",1
"GO:0050999","GO:0050999","regulation of nitric-oxide synthase activity","1/2","33/28943",0.00227908348247818,0.0134465925466213,NA,"Il1b",1
"GO:1903792","GO:1903792","negative regulation of anion transport","1/2","33/28943",0.00227908348247818,0.0134465925466213,NA,"Il1b",1
"GO:0014047","GO:0014047","glutamate secretion","1/2","34/28943",0.00234810602945279,0.0136827906901447,NA,"Il1b",1
"GO:0014002","GO:0014002","astrocyte development","1/2","35/28943",0.00241712618884726,0.0137049455771756,NA,"Il1b",1
"GO:0010573","GO:0010573","vascular endothelial growth factor production","1/2","36/28943",0.00248614396066249,0.0137049455771756,NA,"Il1b",1
"GO:0048710","GO:0048710","regulation of astrocyte differentiation","1/2","36/28943",0.00248614396066249,0.0137049455771756,NA,"Il1b",1
"GO:0002724","GO:0002724","regulation of T cell cytokine production","1/2","37/28943",0.00255515934489714,0.0137049455771756,NA,"Il1b",1
"GO:0051953","GO:0051953","negative regulation of amine transport","1/2","37/28943",0.00255515934489714,0.0137049455771756,NA,"Il1b",1
"GO:0090022","GO:0090022","regulation of neutrophil chemotaxis","1/2","37/28943",0.00255515934489714,0.0137049455771756,NA,"Il1b",1
"GO:2000191","GO:2000191","regulation of fatty acid transport","1/2","37/28943",0.00255515934489714,0.0137049455771756,NA,"Il1b",1
"GO:0021522","GO:0021522","spinal cord motor neuron differentiation","1/2","40/28943",0.00276219117212229,0.0139639656231321,NA,"Lmo4",1
"GO:0030212","GO:0030212","hyaluronan metabolic process","1/2","40/28943",0.00276219117212229,0.0139639656231321,NA,"Il1b",1
"GO:0032743","GO:0032743","positive regulation of interleukin-2 production","1/2","40/28943",0.00276219117212229,0.0139639656231321,NA,"Il1b",1
"GO:0006636","GO:0006636","unsaturated fatty acid biosynthetic process","1/2","41/28943",0.00283119700603796,0.0139639656231321,NA,"Il1b",1
"GO:0006953","GO:0006953","acute-phase response","1/2","41/28943",0.00283119700603796,0.0139639656231321,NA,"Il1b",1
"GO:1900744","GO:1900744","regulation of p38MAPK cascade","1/2","42/28943",0.00290020045237338,0.0139639656231321,NA,"Il1b",1
"GO:0010453","GO:0010453","regulation of cell fate commitment","1/2","43/28943",0.00296920151112878,0.0139639656231321,NA,"Lmo4",1
"GO:0045601","GO:0045601","regulation of endothelial cell differentiation","1/2","43/28943",0.00296920151112878,0.0139639656231321,NA,"Il1b",1
"GO:0046627","GO:0046627","negative regulation of insulin receptor signaling pathway","1/2","43/28943",0.00296920151112878,0.0139639656231321,NA,"Il1b",1
"GO:1902624","GO:1902624","positive regulation of neutrophil migration","1/2","43/28943",0.00296920151112878,0.0139639656231321,NA,"Il1b",1
"GO:0045840","GO:0045840","positive regulation of mitotic nuclear division","1/2","44/28943",0.00303820018230461,0.0139639656231321,NA,"Il1b",1
"GO:0050691","GO:0050691","regulation of defense response to virus by host","1/2","44/28943",0.00303820018230461,0.0139639656231321,NA,"Il1b",1
"GO:0006509","GO:0006509","membrane protein ectodomain proteolysis","1/2","45/28943",0.00310719646590041,0.0139639656231321,NA,"Il1b",1
"GO:2001239","GO:2001239","regulation of extrinsic apoptotic signaling pathway in absence of ligand","1/2","45/28943",0.00310719646590041,0.0139639656231321,NA,"Il1b",1
"GO:0032768","GO:0032768","regulation of monooxygenase activity","1/2","46/28943",0.0031761903619163,0.0139639656231321,NA,"Il1b",1
"GO:0002369","GO:0002369","T cell cytokine production","1/2","48/28943",0.00331417099120856,0.0139639656231321,NA,"Il1b",1
"GO:0042304","GO:0042304","regulation of fatty acid biosynthetic process","1/2","48/28943",0.00331417099120856,0.0139639656231321,NA,"Il1b",1
"GO:0045923","GO:0045923","positive regulation of fatty acid metabolic process","1/2","48/28943",0.00331417099120856,0.0139639656231321,NA,"Il1b",1
"GO:1900077","GO:1900077","negative regulation of cellular response to insulin stimulus","1/2","48/28943",0.00331417099120856,0.0139639656231321,NA,"Il1b",1
"GO:0010718","GO:0010718","positive regulation of epithelial to mesenchymal transition","1/2","49/28943",0.00338315772448483,0.0139639656231321,NA,"Il1b",1
"GO:0061900","GO:0061900","glial cell activation","1/2","49/28943",0.00338315772448483,0.0139639656231321,NA,"Il1b",1
"GO:0042088","GO:0042088","T-helper 1 type immune response","1/2","50/28943",0.00345214207018096,0.0139639656231321,NA,"Il1b",1
"GO:0045429","GO:0045429","positive regulation of nitric oxide biosynthetic process","1/2","50/28943",0.00345214207018096,0.0139639656231321,NA,"Il1b",1
"GO:0032309","GO:0032309","icosanoid secretion","1/2","51/28943",0.00352112402829785,0.0139639656231321,NA,"Il1b",1
"GO:0046456","GO:0046456","icosanoid biosynthetic process","1/2","51/28943",0.00352112402829785,0.0139639656231321,NA,"Il1b",1
"GO:0010934","GO:0010934","macrophage cytokine production","1/2","52/28943",0.00359010359883427,0.0139639656231321,NA,"Il1b",1
"GO:0060251","GO:0060251","regulation of glial cell proliferation","1/2","52/28943",0.00359010359883427,0.0139639656231321,NA,"Il1b",1
"GO:0061028","GO:0061028","establishment of endothelial barrier","1/2","52/28943",0.00359010359883427,0.0139639656231321,NA,"Il1b",1
"GO:1904407","GO:1904407","positive regulation of nitric oxide metabolic process","1/2","52/28943",0.00359010359883427,0.0139639656231321,NA,"Il1b",1
"GO:0002920","GO:0002920","regulation of humoral immune response","1/2","53/28943",0.003659080781791,0.0139639656231321,NA,"Il1b",1
"GO:0006024","GO:0006024","glycosaminoglycan biosynthetic process","1/2","53/28943",0.003659080781791,0.0139639656231321,NA,"Il1b",1
"GO:0051955","GO:0051955","regulation of amino acid transport","1/2","53/28943",0.003659080781791,0.0139639656231321,NA,"Il1b",1
"GO:0002673","GO:0002673","regulation of acute inflammatory response","1/2","54/28943",0.00372805557716771,0.0139639656231321,NA,"Il1b",1
"GO:0006692","GO:0006692","prostanoid metabolic process","1/2","54/28943",0.00372805557716771,0.0139639656231321,NA,"Il1b",1
"GO:0006693","GO:0006693","prostaglandin metabolic process","1/2","54/28943",0.00372805557716771,0.0139639656231321,NA,"Il1b",1
"GO:0038066","GO:0038066","p38MAPK cascade","1/2","54/28943",0.00372805557716771,0.0139639656231321,NA,"Il1b",1
"GO:0045687","GO:0045687","positive regulation of glial cell differentiation","1/2","54/28943",0.00372805557716771,0.0139639656231321,NA,"Il1b",1
"GO:0032892","GO:0032892","positive regulation of organic acid transport","1/2","55/28943",0.00379702798496462,0.0139639656231321,NA,"Il1b",1
"GO:1902622","GO:1902622","regulation of neutrophil migration","1/2","55/28943",0.00379702798496462,0.0139639656231321,NA,"Il1b",1
"GO:0021517","GO:0021517","ventral spinal cord development","1/2","56/28943",0.00386599800518161,0.0139639656231321,NA,"Lmo4",1
"GO:0043507","GO:0043507","positive regulation of JUN kinase activity","1/2","56/28943",0.00386599800518161,0.0139639656231321,NA,"Il1b",1
"GO:0034113","GO:0034113","heterotypic cell-cell adhesion","1/2","57/28943",0.00393496563781903,0.0139639656231321,NA,"Il1b",1
"GO:0048538","GO:0048538","thymus development","1/2","57/28943",0.00393496563781903,0.0139639656231321,NA,"Lmo4",1
"GO:0051353","GO:0051353","positive regulation of oxidoreductase activity","1/2","57/28943",0.00393496563781903,0.0139639656231321,NA,"Il1b",1
"GO:0032757","GO:0032757","positive regulation of interleukin-8 production","1/2","58/28943",0.00400393088287621,0.0139639656231321,NA,"Il1b",1
"GO:0033619","GO:0033619","membrane protein proteolysis","1/2","58/28943",0.00400393088287621,0.0139639656231321,NA,"Il1b",1
"GO:0140353","GO:0140353","lipid export from cell","1/2","58/28943",0.00400393088287621,0.0139639656231321,NA,"Il1b",1
"GO:0071622","GO:0071622","regulation of granulocyte chemotaxis","1/2","59/28943",0.00407289374035369,0.0139639656231321,NA,"Il1b",1
"GO:1903793","GO:1903793","positive regulation of anion transport","1/2","59/28943",0.00407289374035369,0.0139639656231321,NA,"Il1b",1
"GO:0006023","GO:0006023","aminoglycan biosynthetic process","1/2","60/28943",0.00414185421025104,0.0139639656231321,NA,"Il1b",1
"GO:0021515","GO:0021515","cell differentiation in spinal cord","1/2","60/28943",0.00414185421025104,0.0139639656231321,NA,"Lmo4",1
"GO:0071715","GO:0071715","icosanoid transport","1/2","60/28943",0.00414185421025104,0.0139639656231321,NA,"Il1b",1
"GO:0031663","GO:0031663","lipopolysaccharide-mediated signaling pathway","1/2","61/28943",0.00421081229256881,0.0139965028316372,NA,"Il1b",1
"GO:0043407","GO:0043407","negative regulation of MAP kinase activity","1/2","61/28943",0.00421081229256881,0.0139965028316372,NA,"Il1b",1
"GO:0035176","GO:0035176","social behavior","1/2","62/28943",0.00427976798730645,0.0140281284028378,NA,"Il1b",1
"GO:0051785","GO:0051785","positive regulation of nuclear division","1/2","62/28943",0.00427976798730645,0.0140281284028378,NA,"Il1b",1
"GO:0051703","GO:0051703","biological process involved in intraspecies interaction between organisms","1/2","65/28943",0.00448662074604045,0.0146047240836627,NA,"Il1b",1
"GO:0060688","GO:0060688","regulation of morphogenesis of a branching structure","1/2","66/28943",0.00455556689045844,0.0147275861116191,NA,"Il1b",1
"GO:0032663","GO:0032663","regulation of interleukin-2 production","1/2","67/28943",0.00462451064729674,0.0148487688811161,NA,"Il1b",1
"GO:0061082","GO:0061082","myeloid leukocyte cytokine production","1/2","68/28943",0.00469345201655491,0.0149683064311751,NA,"Il1b",1
"GO:0050994","GO:0050994","regulation of lipid catabolic process","1/2","69/28943",0.00476239099823339,0.0149856570077744,NA,"Il1b",1
"GO:1901224","GO:1901224","positive regulation of NIK/NF-kappaB signaling","1/2","69/28943",0.00476239099823339,0.0149856570077744,NA,"Il1b",1
"GO:0015800","GO:0015800","acidic amino acid transport","1/2","70/28943",0.00483132759233207,0.0150025435761891,NA,"Il1b",1
"GO:0150076","GO:0150076","neuroinflammatory response","1/2","70/28943",0.00483132759233207,0.0150025435761891,NA,"Il1b",1
"GO:0014009","GO:0014009","glial cell proliferation","1/2","71/28943",0.00490026179885106,0.0150189842146604,NA,"Il1b",1
"GO:0060986","GO:0060986","endocrine hormone secretion","1/2","71/28943",0.00490026179885106,0.0150189842146604,NA,"Il1b",1
"GO:0043506","GO:0043506","regulation of JUN kinase activity","1/2","72/28943",0.00496919361779002,0.0151319960490122,NA,"Il1b",1
"GO:0045428","GO:0045428","regulation of nitric oxide biosynthetic process","1/2","73/28943",0.00503812304914886,0.0152435517897324,NA,"Il1b",1
"GO:0001885","GO:0001885","endothelial cell development","1/2","74/28943",0.00510705009292778,0.0152565040750754,NA,"Il1b",1
"GO:0032623","GO:0032623","interleukin-2 production","1/2","74/28943",0.00510705009292778,0.0152565040750754,NA,"Il1b",1
"GO:0050688","GO:0050688","regulation of defense response to virus","1/2","75/28943",0.0051759747491269,0.0153651577458358,NA,"Il1b",1
"GO:0032677","GO:0032677","regulation of interleukin-8 production","1/2","76/28943",0.00524489701774611,0.015472446202351,NA,"Il1b",1
"GO:0032637","GO:0032637","interleukin-8 production","1/2","77/28943",0.00531381689878552,0.0154822319520171,NA,"Il1b",1
"GO:0080164","GO:0080164","regulation of nitric oxide metabolic process","1/2","77/28943",0.00531381689878552,0.0154822319520171,NA,"Il1b",1
"GO:0038034","GO:0038034","signal transduction in absence of ligand","1/2","78/28943",0.00538273439224513,0.0154917721532908,NA,"Il1b",1
"GO:0097192","GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand","1/2","78/28943",0.00538273439224513,0.0154917721532908,NA,"Il1b",1
"GO:0071347","GO:0071347","cellular response to interleukin-1","1/2","79/28943",0.00545164949812471,0.0155950215946355,NA,"Il1b",1
"GO:0046626","GO:0046626","regulation of insulin receptor signaling pathway","1/2","81/28943",0.00558947254714448,0.0157629033067873,NA,"Il1b",1
"GO:0002711","GO:0002711","positive regulation of T cell mediated immunity","1/2","82/28943",0.00565838049028444,0.0157629033067873,NA,"Il1b",1
"GO:0050709","GO:0050709","negative regulation of protein secretion","1/2","82/28943",0.00565838049028444,0.0157629033067873,NA,"Il1b",1
"GO:0032722","GO:0032722","positive regulation of chemokine production","1/2","83/28943",0.0057272860458446,0.0157629033067873,NA,"Il1b",1
"GO:1900076","GO:1900076","regulation of cellular response to insulin stimulus","1/2","84/28943",0.00579618921382463,0.0157629033067873,NA,"Il1b",1
"GO:1903510","GO:1903510","mucopolysaccharide metabolic process","1/2","84/28943",0.00579618921382463,0.0157629033067873,NA,"Il1b",1
"GO:0002720","GO:0002720","positive regulation of cytokine production involved in immune response","1/2","85/28943",0.00586508999422497,0.0157629033067873,NA,"Il1b",1
"GO:0006809","GO:0006809","nitric oxide biosynthetic process","1/2","85/28943",0.00586508999422497,0.0157629033067873,NA,"Il1b",1
"GO:0014015","GO:0014015","positive regulation of gliogenesis","1/2","86/28943",0.0059339883870454,0.0157629033067873,NA,"Il1b",1
"GO:0032729","GO:0032729","positive regulation of interferon-gamma production","1/2","86/28943",0.0059339883870454,0.0157629033067873,NA,"Il1b",1
"GO:0048708","GO:0048708","astrocyte differentiation","1/2","87/28943",0.0060028843922858,0.0157629033067873,NA,"Il1b",1
"GO:0003281","GO:0003281","ventricular septum development","1/2","88/28943",0.00607177800994652,0.0157629033067873,NA,"Lmo4",1
"GO:0032890","GO:0032890","regulation of organic acid transport","1/2","88/28943",0.00607177800994652,0.0157629033067873,NA,"Il1b",1
"GO:0043525","GO:0043525","positive regulation of neuron apoptotic process","1/2","88/28943",0.00607177800994652,0.0157629033067873,NA,"Il1b",1
"GO:0010827","GO:0010827","regulation of glucose transmembrane transport","1/2","89/28943",0.0061406692400271,0.0157629033067873,NA,"Il1b",1
"GO:0006835","GO:0006835","dicarboxylic acid transport","1/2","90/28943",0.0062095580825281,0.0157629033067873,NA,"Il1b",1
"GO:0019915","GO:0019915","lipid storage","1/2","90/28943",0.0062095580825281,0.0157629033067873,NA,"Il1b",1
"GO:0045665","GO:0045665","negative regulation of neuron differentiation","1/2","90/28943",0.0062095580825281,0.0157629033067873,NA,"Il1b",1
"GO:0050805","GO:0050805","negative regulation of synaptic transmission","1/2","90/28943",0.0062095580825281,0.0157629033067873,NA,"Il1b",1
"GO:0046209","GO:0046209","nitric oxide metabolic process","1/2","91/28943",0.00627844453744919,0.0157629033067873,NA,"Il1b",1
"GO:0046683","GO:0046683","response to organophosphorus","1/2","91/28943",0.00627844453744919,0.0157629033067873,NA,"Il1b",1
"GO:0046888","GO:0046888","negative regulation of hormone secretion","1/2","91/28943",0.00627844453744919,0.0157629033067873,NA,"Il1b",1
"GO:0050766","GO:0050766","positive regulation of phagocytosis","1/2","91/28943",0.00627844453744919,0.0157629033067873,NA,"Il1b",1
"GO:2001057","GO:2001057","reactive nitrogen species metabolic process","1/2","93/28943",0.00641621028455153,0.0160235516100969,NA,"Il1b",1
"GO:0045685","GO:0045685","regulation of glial cell differentiation","1/2","95/28943",0.006553966481334,0.0161961894198411,NA,"Il1b",1
"GO:0051341","GO:0051341","regulation of oxidoreductase activity","1/2","95/28943",0.006553966481334,0.0161961894198411,NA,"Il1b",1
"GO:0010717","GO:0010717","regulation of epithelial to mesenchymal transition","1/2","96/28943",0.00662284099835575,0.0161967924933882,NA,"Il1b",1
"GO:0070555","GO:0070555","response to interleukin-1","1/2","96/28943",0.00662284099835575,0.0161967924933882,NA,"Il1b",1
"GO:0015908","GO:0015908","fatty acid transport","1/2","98/28943",0.00676058286965919,0.0163629467294426,NA,"Il1b",1
"GO:1901222","GO:1901222","regulation of NIK/NF-kappaB signaling","1/2","98/28943",0.00676058286965919,0.0163629467294426,NA,"Il1b",1
"GO:0002690","GO:0002690","positive regulation of leukocyte chemotaxis","1/2","99/28943",0.0068294502239411,0.0163629467294426,NA,"Il1b",1
"GO:2001237","GO:2001237","negative regulation of extrinsic apoptotic signaling pathway","1/2","99/28943",0.0068294502239411,0.0163629467294426,NA,"Il1b",1
"GO:0051781","GO:0051781","positive regulation of cell division","1/2","100/28943",0.00689831519064288,0.0164444685352699,NA,"Il1b",1
"GO:0032370","GO:0032370","positive regulation of lipid transport","1/2","101/28943",0.00696717776976519,0.0165197576414148,NA,"Il1b",1
"GO:0032611","GO:0032611","interleukin-1 beta production","1/2","102/28943",0.00703603796130725,0.0165197576414148,NA,"Il1b",1
"GO:0021510","GO:0021510","spinal cord development","1/2","103/28943",0.00710489576526951,0.0165197576414148,NA,"Lmo4",1
"GO:0030593","GO:0030593","neutrophil chemotaxis","1/2","103/28943",0.00710489576526951,0.0165197576414148,NA,"Il1b",1
"GO:0046330","GO:0046330","positive regulation of JNK cascade","1/2","103/28943",0.00710489576526951,0.0165197576414148,NA,"Il1b",1
"GO:0019217","GO:0019217","regulation of fatty acid metabolic process","1/2","105/28943",0.00724260421045442,0.0166756545723633,NA,"Il1b",1
"GO:0033077","GO:0033077","T cell differentiation in thymus","1/2","105/28943",0.00724260421045442,0.0166756545723633,NA,"Il1b",1
"GO:0030203","GO:0030203","glycosaminoglycan metabolic process","1/2","106/28943",0.00731145485167728,0.0167524596601538,NA,"Il1b",1
"GO:0071901","GO:0071901","negative regulation of protein serine/threonine kinase activity","1/2","107/28943",0.00738030310532012,0.0168121381748495,NA,"Il1b",1
